,STATE,STATE.NAME,REGION,DIVISION,RULING.PARTY,ENERGY.SOURCE,GENERATION_MM.MWh,CONSUMPTION_MM.MWh.tminus1,CO2.EMISSION_MM.METRIC.TONS
59,NE,Nebraska,Midwest,West North Central,REPUBLICAN,Not Sustainable,1.5669,2.5457,20.3346
60,NE,Nebraska,Midwest,West North Central,REPUBLICAN,Sustainable,1.5038,7.4768,0.6153
61,NH,New Hampshire,Northeast,New England,DEMOCRAT,Not Sustainable,0.0752,0.03,0.2004
62,NH,New Hampshire,Northeast,New England,DEMOCRAT,Sustainable,1.2827,15.9081,1.4468
63,NJ,New Jersey,Northeast,Middle Atlantic,DEMOCRAT,Not Sustainable,0.0984,0.0829,1.1674
64,NJ,New Jersey,Northeast,Middle Atlantic,DEMOCRAT,Sustainable,4.9447,172.0015,12.8782
65,NM,New Mexico,West,Mountain,DEMOCRAT,Not Sustainable,1.0684,1.5348,13.1593
66,NM,New Mexico,West,Mountain,DEMOCRAT,Sustainable,1.7713,64.402,5.4969
67,NV,Nevada,West,Mountain,DEMOCRAT,Not Sustainable,0.1633,0.2921,2.0959
68,NV,Nevada,West,Mountain,DEMOCRAT,Sustainable,3.2033,118.6031,11.3848
69,NY,New York,Northeast,Middle Atlantic,DEMOCRAT,Not Sustainable,0.0798,0.0354,0.5056
70,NY,New York,Northeast,Middle Atlantic,DEMOCRAT,Sustainable,10.623,226.3324,24.6038
71,OH,Ohio,Midwest,East North Central,REPUBLICAN,Not Sustainable,3.9278,3.6911,45.2664
72,OH,Ohio,Midwest,East North Central,REPUBLICAN,Sustainable,6.1546,225.2811,21.9288
73,OK,Oklahoma,South,West South Central,REPUBLICAN,Not Sustainable,0.52,0.9927,6.6526
74,OK,Oklahoma,South,West South Central,REPUBLICAN,Sustainable,6.3378,211.1473,19.0271
75,OR,Oregon,West,Pacific,DEMOCRAT,Not Sustainable,0.1886,0.2824,1.6507
76,OR,Oregon,West,Pacific,DEMOCRAT,Sustainable,5.1098,88.996,7.651
77,PA,Pennsylvania,Northeast,Middle Atlantic,DEMOCRAT,Not Sustainable,2.0398,3.6579,24.145
78,PA,Pennsylvania,Northeast,Middle Atlantic,DEMOCRAT,Sustainable,17.0656,417.1627,46.8158
79,RI,Rhode Island,Northeast,New England,DEMOCRAT,Not Sustainable,0.0004,0.0,0.0057
80,RI,Rhode Island,Northeast,New England,DEMOCRAT,Sustainable,0.7409,32.955,3.351
81,SC,South Carolina,South,South Atlantic,REPUBLICAN,Not Sustainable,1.2064,1.1895,12.5983
82,SC,South Carolina,South,South Atlantic,REPUBLICAN,Sustainable,7.0005,110.6759,10.3417
83,SD,South Dakota,Midwest,West North Central,REPUBLICAN,Not Sustainable,0.1388,0.3072,1.7994
84,SD,South Dakota,Midwest,West North Central,REPUBLICAN,Sustainable,1.04,5.7182,0.5625
85,TN,Tennessee,South,East South Central,REPUBLICAN,Not Sustainable,1.2512,1.7828,15.173
86,TN,Tennessee,South,East South Central,REPUBLICAN,Sustainable,5.4618,79.2839,7.5687
87,TX,Texas,South,West South Central,REPUBLICAN,Not Sustainable,6.8761,11.9236,83.6475
88,TX,Texas,South,West South Central,REPUBLICAN,Sustainable,32.5472,1164.4824,118.7887
89,UT,Utah,West,Mountain,REPUBLICAN,Not Sustainable,1.9044,2.2394,22.1744
90,UT,Utah,West,Mountain,REPUBLICAN,Sustainable,1.1754,44.7873,4.123
91,VA,Virginia,South,South Atlantic,DEMOCRAT,Not Sustainable,0.5288,0.3355,4.437
92,VA,Virginia,South,South Atlantic,DEMOCRAT,Sustainable,8.0128,256.9141,26.4928
93,VT,Vermont,Northeast,New England,DEMOCRAT,Not Sustainable,0.0328,0.0,0.0026
94,VT,Vermont,Northeast,New England,DEMOCRAT,Sustainable,0.1471,0.0107,0.0056
95,WA,Washington,West,Pacific,DEMOCRAT,Not Sustainable,0.5631,0.906,5.6027
96,WA,Washington,West,Pacific,DEMOCRAT,Sustainable,9.1074,67.4241,6.2893
97,WI,Wisconsin,Midwest,East North Central,DEMOCRAT,Not Sustainable,2.0451,2.7892,23.2163
98,WI,Wisconsin,Midwest,East North Central,DEMOCRAT,Sustainable,3.0732,91.7029,9.9195
99,WV,West Virginia,South,South Atlantic,REPUBLICAN,Not Sustainable,4.2004,4.4749,47.901
100,WV,West Virginia,South,South Atlantic,REPUBLICAN,Sustainable,0.5227,11.7364,1.617
101,WY,Wyoming,West,Mountain,REPUBLICAN,Not Sustainable,2.8162,4.1247,36.4874
102,WY,Wyoming,West,Mountain,REPUBLICAN,Sustainable,0.6781,4.4428,1.0689
